Username,Commits,PullRequests,Issues,Indicators
"dependabot[bot]",163,4,0,"Username contains 'bot'; Username contains 'Bot'; Username contains '[bot]'; Username contains 'BOT'; Username contains 'dependabot'"
"Krzysztof-Cieslak",60,0,0,"Username contains 'ci'; Username contains 'CI'; Username contains '-ci'"
"SoloJiang",34,0,0,"High message similarity: 100% identical; Automation keywords: 100% of messages"
"marvinruder",14,0,0,"High message similarity: 93% identical; Automation keywords: 93% of messages"
"eltociear",12,0,0,"Username contains 'ci'; Username contains 'CI'"
"NriotHrreion",10,0,0,"Automation keywords: 80% of messages"
"devinvalenciano",9,0,0,"Username contains 'ci'; Username contains 'CI'"
"whistlegraph",8,0,0,"High message similarity: 88% identical; Automation keywords: 88% of messages"
"matthew-godin",6,0,0,"High message similarity: 83% identical; Automation keywords: 83% of messages; All messages very short (< 30 chars)"
"mattkwiecien",6,0,0,"Username contains 'ci'; Username contains 'CI'"
"leopardracer",5,0,0,"Automation keywords: 80% of messages; All messages very short (< 30 chars)"
"sparxooo",5,0,0,"Automation keywords: 100% of messages"
"zjysdhr",5,0,0,"Automation keywords: 80% of messages"
"Cecil0o0",3,0,0,"Username contains 'ci'; Username contains 'CI'"
"cipacda",3,0,0,"Username contains 'ci'; Username contains 'CI'"
"microsoft-github-policy-service[bot]",2,0,0,"Username contains 'bot'; Username contains 'Bot'; Username contains '[bot]'; Username contains 'BOT'"
"francis-andrade",2,0,0,"Username contains 'ci'; Username contains 'CI'"
"aioutecism",2,0,0,"Username contains 'ci'; Username contains 'CI'"
"garciasdos",1,1,0,"Username contains 'ci'; Username contains 'CI'"
"Gallaecio",1,0,1,"Username contains 'ci'; Username contains 'CI'"
"vincentcine",1,0,0,"Username contains 'ci'; Username contains 'CI'"
"franciscacarneiro",1,0,0,"Username contains 'ci'; Username contains 'CI'"
"inclusive-coding-bot",1,0,0,"Username contains 'bot'; Username contains 'Bot'; Username contains '-bot'; Username contains 'BOT'"
"enticies",1,0,0,"Username contains 'ci'; Username contains 'CI'"
"asciimike",1,0,0,"Username contains 'ci'; Username contains 'CI'"
"mmacoveiciuc",1,0,0,"Username contains 'ci'; Username contains 'CI'"
"metiftikci",1,0,0,"Username contains 'ci'; Username contains 'CI'"
"ElasticPencil",1,0,0,"Username contains 'ci'; Username contains 'CI'"
"LucianaMarques",1,0,0,"Username contains 'ci'; Username contains 'CI'"
"ImgBotApp",1,0,0,"Username contains 'bot'; Username contains 'Bot'; Username contains 'BOT'"
"ignacionr",1,0,0,"Username contains 'ci'; Username contains 'CI'"
"vsobotka",1,0,0,"Username contains 'bot'; Username contains 'Bot'; Username contains 'BOT'"
"erifybot",0,1,0,"Username contains 'bot'; Username contains 'Bot'; Username contains 'BOT'"
"radobot",0,1,0,"Username contains 'bot'; Username contains 'Bot'; Username contains 'BOT'"
"vs-code-engineering[bot]",0,0,8,"Username contains 'bot'; Username contains 'Bot'; Username contains '[bot]'; Username contains 'BOT'"
"marcin-misiewicz-pl",0,0,1,"Username contains 'ci'; Username contains 'CI'"
"CiaranGallagherStarRez",0,0,1,"Username contains 'ci'; Username contains 'CI'"
"AshleyScirra",0,0,1,"Username contains 'ci'; Username contains 'CI'"
"kapoorofficial",0,0,1,"Username contains 'ci'; Username contains 'CI'"
"osmancilel-dev",0,0,3,"Username contains 'ci'; Username contains 'CI'"
"matheusluciano99",0,0,1,"Username contains 'ci'; Username contains 'CI'"
"pacificnm",0,0,1,"Username contains 'ci'; Username contains 'CI'"
"dcruise-bot",0,0,1,"Username contains 'bot'; Username contains 'Bot'; Username contains '-bot'; Username contains 'BOT'"
"viniciustormin",0,0,1,"Username contains 'ci'; Username contains 'CI'"
